employeeId,type,start,end
employee1,cooking,16/07/2021 9:00,16/07/2021 14:00
employee1,cashier,16/07/2021 9:00,16/07/2021 16:00
employee1,,13/07/2021 11:00,14/07/2021 21:00
employee2,,13/07/2021 11:00,16/07/2021 16:00
employee3,,16/07/2021 9:00,16/07/2021 16:00
employee3,,15/07/2021 9:00,15/07/2021 12:00
employee3,,13/07/2021 13:00,13/07/2021 16:00
employee3,,14/07/2021 15:00,14/07/2021 18:00
employee4,,13/07/2021 13:00,13/07/2021 16:00
employee4,,14/07/2021 18:00,14/07/2021 21:00
employee5,,15/07/2021 11:00,15/07/2021 14:00
employee6,cooking,16/07/2021 11:00,16/07/2021 16:00
employee6,cooking,15/07/2021 11:00,15/07/2021 16:00
employee6,cooking,13/07/2021 13:00,13/07/2021 18:00
employee6,cooking,14/07/2021 15:00,14/07/2021 18:00
employee7,cooking,16/07/2021 9:00,16/07/2021 12:00
employee7,cooking,16/07/2021 15:00,16/07/2021 18:00
employee7,cooking,15/07/2021 13:00,15/07/2021 21:00
employee7,cooking,13/07/2021 13:00,13/07/2021 18:00
employee8,cooking,16/07/2021 15:00,16/07/2021 18:00
employee9,cooking,13/07/2021 15:00,13/07/2021 18:00
employee10,cooking,13/07/2021 15:00,13/07/2021 18:00
employee11,cooking,13/07/2021 13:00,13/07/2021 16:00
employee11,cashier,14/07/2021 15:00,14/07/2021 18:00
employee12,cooking,13/07/2021 13:00,13/07/2021 16:00
employee13,cooking,13/07/2021 11:00,13/07/2021 14:00
employee13,cooking,15/07/2021 11:00,15/07/2021 14:00
employee13,cooking,16/07/2021 15:00,16/07/2021 18:00
employee13,cooking,16/07/2021 11:00,16/07/2021 14:00
employee14,,16/07/2021 9:00,16/07/2021 12:00
employee14,,16/07/2021 15:00,16/07/2021 18:00
employee14,,15/07/2021 15:00,15/07/2021 21:00
employee14,,13/07/2021 15:00,14/07/2021 21:00
employee15,,16/07/2021 9:00,16/07/2021 18:00
employee15,,15/07/2021 9:00,15/07/2021 14:00
employee15,,15/07/2021 18:00,15/07/2021 21:00
employee15,,13/07/2021 11:00,13/07/2021 14:00
employee15,,13/07/2021 15:00,13/07/2021 21:00
employee15,,14/07/2021 15:00,14/07/2021 21:00
employee16,,16/07/2021 9:00,16/07/2021 18:00
employee16,,15/07/2021 9:00,15/07/2021 12:00
employee16,,13/07/2021 18:00,13/07/2021 21:00
employee16,,14/07/2021 13:00,14/07/2021 21:00
employee17,cooking,16/07/2021 9:00,16/07/2021 16:00
employee17,cooking,15/07/2021 15:00,15/07/2021 18:00
employee17,cooking,13/07/2021 15:00,13/07/2021 21:00
employee17,cooking,14/07/2021 15:00,14/07/2021 21:00
employee18,cooking,16/07/2021 9:00,16/07/2021 16:00
employee18,cooking,15/07/2021 15:00,15/07/2021 18:00
employee18,cooking,13/07/2021 15:00,14/07/2021 21:00
employee19,,15/07/2021 11:00,15/07/2021 18:00
employee19,,13/07/2021 13:00,13/07/2021 21:00
employee20,cooking,16/07/2021 9:00,16/07/2021 16:00
employee20,cooking,15/07/2021 9:00,15/07/2021 14:00
employee20,cooking,15/07/2021 15:00,15/07/2021 18:00
employee20,cooking,13/07/2021 13:00,13/07/2021 16:00
employee21,cooking,15/07/2021 9:00,15/07/2021 14:00
employee21,cooking,14/07/2021 15:00,14/07/2021 18:00
employee22,cooking,16/07/2021 9:00,16/07/2021 12:00
employee22,cooking,15/07/2021 9:00,15/07/2021 12:00
employee23,cooking,14/07/2021 18:00,14/07/2021 21:00
employee23,cooking,16/07/2021 13:00,16/07/2021 16:00
employee24,cooking,15/07/2021 9:00,15/07/2021 18:00
employee24,cooking,13/07/2021 13:00,13/07/2021 18:00
employee24,cooking,14/07/2021 15:00,14/07/2021 18:00
employee25,,15/07/2021 11:00,15/07/2021 14:00
employee25,,15/07/2021 15:00,15/07/2021 18:00
employee25,,13/07/2021 11:00,13/07/2021 14:00
employee25,,13/07/2021 15:00,13/07/2021 18:00
employee25,,14/07/2021 15:00,14/07/2021 18:00
employee26,,15/07/2021 11:00,15/07/2021 18:00
employee26,,13/07/2021 13:00,13/07/2021 21:00
employee27,,16/07/2021 9:00,16/07/2021 16:00
employee27,,15/07/2021 11:00,15/07/2021 18:00
employee27,,13/07/2021 13:00,13/07/2021 18:00
employee28,cashier,13/07/2021 15:00,13/07/2021 18:00
employee28,cashier,16/07/2021 11:00,16/07/2021 14:00
