shiftId,type,start,end
shift1,cooking,16/07/2021 9:00,16/07/2021 12:00
shift2,cooking,16/07/2021 9:00,16/07/2021 12:00
shift3,cooking,16/07/2021 9:00,16/07/2021 12:00
shift4,cooking,16/07/2021 9:00,16/07/2021 12:00
shift5,cooking,16/07/2021 11:00,16/07/2021 14:00
shift6,cooking,16/07/2021 11:00,16/07/2021 14:00
shift7,cooking,16/07/2021 11:00,16/07/2021 14:00
shift8,cooking,16/07/2021 11:00,16/07/2021 14:00
shift9,cashier,16/07/2021 11:00,16/07/2021 14:00
shift10,cashier,16/07/2021 11:00,16/07/2021 14:00
shift11,cooking,16/07/2021 13:00,16/07/2021 16:00
shift12,cooking,16/07/2021 13:00,16/07/2021 16:00
shift13,cooking,16/07/2021 13:00,16/07/2021 16:00
shift14,cooking,16/07/2021 13:00,16/07/2021 16:00
shift15,cashier,16/07/2021 13:00,16/07/2021 16:00
shift16,cashier,16/07/2021 13:00,16/07/2021 16:00
shift17,cooking,16/07/2021 15:00,16/07/2021 18:00
shift18,cooking,16/07/2021 15:00,16/07/2021 18:00
shift19,cooking,16/07/2021 15:00,16/07/2021 18:00
shift20,cooking,16/07/2021 15:00,16/07/2021 18:00
shift21,cashier,15/07/2021 9:00,15/07/2021 12:00
shift22,cashier,15/07/2021 9:00,15/07/2021 12:00
shift23,cooking,15/07/2021 9:00,15/07/2021 12:00
shift24,cooking,15/07/2021 9:00,15/07/2021 12:00
shift25,cooking,15/07/2021 11:00,15/07/2021 14:00
shift26,cooking,15/07/2021 11:00,15/07/2021 14:00
shift27,cooking,15/07/2021 11:00,15/07/2021 14:00
shift28,cooking,15/07/2021 11:00,15/07/2021 14:00
shift29,cooking,15/07/2021 13:00,15/07/2021 16:00
shift30,cooking,15/07/2021 13:00,15/07/2021 16:00
shift31,cooking,15/07/2021 13:00,15/07/2021 16:00
shift32,cooking,15/07/2021 13:00,15/07/2021 16:00
shift33,cooking,15/07/2021 15:00,15/07/2021 18:00
shift34,cooking,15/07/2021 15:00,15/07/2021 18:00
shift35,cooking,15/07/2021 15:00,15/07/2021 18:00
shift36,cooking,15/07/2021 15:00,15/07/2021 18:00
shift37,cooking,13/07/2021 11:00,13/07/2021 14:00
shift38,cooking,13/07/2021 11:00,13/07/2021 14:00
shift39,cooking,13/07/2021 13:00,13/07/2021 16:00
shift40,cooking,13/07/2021 13:00,13/07/2021 16:00
shift41,cooking,13/07/2021 13:00,13/07/2021 16:00
shift42,cooking,13/07/2021 13:00,13/07/2021 16:00
shift43,cashier,13/07/2021 13:00,13/07/2021 16:00
shift44,cashier,13/07/2021 13:00,13/07/2021 16:00
shift45,cooking,13/07/2021 15:00,13/07/2021 18:00
shift46,cooking,13/07/2021 15:00,13/07/2021 18:00
shift47,cooking,13/07/2021 15:00,13/07/2021 18:00
shift48,cooking,13/07/2021 15:00,13/07/2021 18:00
shift49,cashier,13/07/2021 15:00,13/07/2021 18:00
shift50,cashier,13/07/2021 15:00,13/07/2021 18:00
shift51,cooking,13/07/2021 18:00,13/07/2021 21:00
shift52,cooking,13/07/2021 18:00,13/07/2021 21:00
shift53,cashier,14/07/2021 15:00,14/07/2021 18:00
shift54,cashier,14/07/2021 15:00,14/07/2021 18:00
shift55,cooking,14/07/2021 15:00,14/07/2021 18:00
shift56,cooking,14/07/2021 15:00,14/07/2021 18:00
shift57,cooking,14/07/2021 18:00,14/07/2021 21:00
shift58,cooking,14/07/2021 18:00,14/07/2021 21:00
